,CVE_ART,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
743,TP0005,97.49,338.23
744,BP00215,97.53,550.77
745,RP00191,10.7,408.3
746,BOBINA002,1813.59,35136.41
747,BOBINA003,2573.85,19930.55
748,TUS00016,456.18,2046.62
749,TUS00017,503.4,2625.1
750,TUS00018,591.85,3162.35
751,PA00011,1092.06,1943.94
752,PA00012,1220.15,1556.5
753,TUA00458,473.55,1534.45
754,PT31B1G1AG00,912.43,2609.57
755,PT00087,921.15,2200.85
756,TUA00459,345.97,819.98
757,TUA00461,322.13,789.87
758,TUE00171,771.72,4245.08
759,TP0012,54.8,255.2
760,TP0011,423.89,1031.11
761,TUA00460,557.42,2206.69
762,TUE00004,123.23,395.73
763,ECQ-01444,5411.87,15960.89
764,TEA00004,665.36,388.64
765,BN00216,552.36,495.34
766,TUA00009,1850.42,2521.58
767,BL00012,136.58,591.0
768,PJ31F1F1A400,82.32,260.68
769,ECQ-00971,1216.06,1711.94
770,TP0016,260.2,471.8
771,TUA00459,345.97,819.98
772,BL00057,55.57,753.73
773,BL00058,130.51,1166.49
774,BP00265,128.69,1168.31
775,BP00266,128.69,1258.01
776,TP0007,210.24,365.79
777,TP0008,265.64,391.48
778,TP0009,205.2,294.5
779,BS00012,76.36,583.24
780,ABRAZA01,150.32,1079.68
781,TEA00006,2660.93,4439.07
782,TEA00006,1995.7,3329.3
783,93980461,1357.1,711.4
784,54020219,2261.08,2667.32
785,47980249,1773.52,4106.48
786,EE00060,185.06,888.98
787,PJ000NH1A400,170.5,2985.02
788,P131B1I14000,297.42,429.89
789,TP0012,54.8,569.47
790,PJ000GH1A000,206.11,365.89
791,PJ000GJ1A000,2178.55,2693.45
792,PT00063,671.28,876.72
793,BS00010,133.98,1186.02
794,BN00263,345.06,2027.28
795,BP00267,608.14,1416.86
796,MR01934,808.65,3884.0
797,TUA00318,5407.95,7921.49
798,TUA00459,345.97,819.98
799,CAS00083,7098.51,25685.11
800,CAS00084,3719.48,12791.35
